,FullSuccess_count,successful_rates,group,offset
0,2563,0,,0
1,1304,1,,1
2,4708,10,1,0
3,4758,11,1,1
4,19,110,11,0
5,3540,12,1,2
6,105,13,1,3
7,0,16,1,6
8,0,17,1,7
9,11036,2,,2
10,5332,3,,3
11,8667,4,,4
12,9030,40,4,0
13,3120,41,4,1
14,7818,42,4,2
15,6189,43,4,3
16,3389,44,4,4
17,8620,50,5,0
18,3160,51,5,1
19,3716,52,5,2
20,36,53,5,3
21,0,55,5,5
22,0,56,5,6
23,0,6,,6
24,3202,80,8,0
25,4206,81,8,1
26,2252,82,8,2
27,47,83,8,3
28,0,86,8,6
29,6099,90,9,0
30,6970,91,9,1
31,0,92,9,2
32,0,93,9,3
33,0,96,9,6
34,3619,c0,c,0
35,10160,c1,c,1
36,5068,c2,c,2
37,7723,d0,d,0
38,3161,d1,d,1
39,0,d2,d,2
40,0,d4,d,4
41,0,d7,d,7
