,FullSuccess_count,successful_rates
0,2563,168980
1,1304,b44c0
2,4708,b44c0
3,4758,5a260
4,19,190640
5,3540,3c1e0
6,105,2d1a0
7,0,14140
8,0,12110
9,11036,783c0
10,5332,5a260
11,8667,3c1e0
12,9030,1448c0
13,3120,a2460
14,7818,6c3a0
15,6189,51240
16,3389,361e0
17,8620,a2470
18,3160,51250
19,3716,361e8
20,36,289b0
21,0,14560
22,0,12150
23,0,28180
24,3202,ada50
25,4206,56da0
26,2252,39ec0
27,47,2b750
28,0,13590
29,6099,56da0
30,6970,2b750
31,0,1cfd8
32,0,15ba8
33,0,9b40
34,3619,9c4a0
35,10160,4e2e0
36,5068,34240
37,7723,4e2e0
38,3161,271f8
39,0,1a1a8
40,0,d160
41,0,7de0
