,Column
0,index
1,airtime0
2,airtime1
3,airtime2
4,airtime3
5,airtime4
6,airtime5
7,airtime6
8,airtime7
9,airtime8
10,airtime9
11,0
12,168980
13,b44c0
14,783c0
15,5a260
16,3c1e0
17,2d1a0
18,28180
19,24120
20,
21,
22,1
23,b44c0
24,5a260
25,3c1e0
26,2d1a0
27,1e170
28,16950
29,14140
30,12110
31,
32,
33,2
34,783d0
35,3c1e8
36,28198
37,1e170
38,14148
39,f130
40,d5d8
41,c060
42,
43,
44,3
45,5a260
46,2d1a8
47,1e170
48,16950
49,f130
50,b4a8
51,a120
52,9088
53,
54,
55,4
56,1448c0
57,a2460
58,6c3a0
59,51240
60,361e0
61,289a0
62,241a0
63,207a0
64,
65,
66,5
67,a2470
68,51250
69,361e0
70,289b0
71,1b170
72,14560
73,12150
74,10450
75,
76,
77,6
78,6c3a0
79,361e8
80,241a0
81,1b178
82,12158
83,d948
84,c0a8
85,ad50
86,
87,
88,7
89,51250
90,289b0
91,1b178
92,14560
93,d948
94,a2c8
95,9130
96,8240
97,
98,
99,8
100,ada50
101,56da0
102,39ec0
103,2b750
104,1cfd0
105,15ba0
106,13590
107,11650
108,
109,
110,9
111,56da0
112,2b750
113,1cfd8
114,15ba8
115,e868
116,add0
117,9b40
118,8ba0
119,
120,
121,a
122,39ec0
123,1cfdc
124,13590
125,e86c
126,9b44
127,7434
128,6784
129,5cc4
130,
131,
132,b
133,2b750
134,15ba8
135,e86c
136,add4
137,7434
138,56e8
139,4e20
140,4650
141,
142,
143,c
144,9c4a0
145,4e2e0
146,34240
147,271f0
148,1a1a0
149,13910
150,116c0
151,faa0
152,
153,
154,d
155,4e2e0
156,271f8
157,1a1a8
158,13910
159,d160
160,9ca0
161,8bf0
162,7de0
163,
164,
165,e
166,34244
167,1a1ac
168,116cc
169,d160
170,8bf0
171,68c8
172,5d5c
173,53b0
174,
175,
176,f
177,271f8
178,13914
179,d160
180,9ca4
181,68c8
182,4e68
183,4680
184,3f78
185,
186,
187,10
188,960e00
189,4c9100
190,1dcc00
191,106f00
192,949700
193,4b1a00
194,1c5500
195,ef800
196,
197,
198,11
199,190640
200,10d880
201,cc1a0
202,8aac0
203,6a720
204,493e0
205,399e0
206,33c20
207,
208,
209,12
210,168980
211,b44c0
212,783c0
213,5a260
214,3c1e0
215,2d1a0
216,28180
217,24120
218,1e160
219,1b180
220,13
221,b44c0
222,5a260
223,3c1e0
224,2d1a0
225,1e170
226,16950
227,14140
228,12110
229,f130
230,d8c0
231,14
232,783d0
233,3c1e8
234,28198
235,1e170
236,14148
237,f130
238,d5d8
239,c060
240,a120
241,9088
242,15
243,5a260
244,2d1a8
245,1e170
246,16950
247,f130
248,b4a8
249,a120
250,9088
251,7918
252,6c60
253,16
254,1448c0
255,a2460
256,6c3a0
257,51240
258,361e0
259,289a0
260,241a0
261,207a0
262,1b160
263,18660
264,17
265,a2470
266,51250
267,361e0
268,289b0
269,1b170
270,14560
271,12150
272,10450
273,d940
274,c350
275,18
276,6c3a0
277,361e8
278,241a0
279,1b178
280,12158
281,d948
282,c0a8
283,ad50
284,9130
285,8240
286,19
287,51250
288,289b0
289,1b178
290,14560
291,d948
292,a2c8
293,9130
294,8240
295,6d28
296,61c0
297,1a
298,ada50
299,56da0
300,39ec0
301,2b750
302,1cfd0
303,15ba0
304,13590
305,11650
306,e860
307,d0f0
308,1b
309,56da0
310,2b750
311,1cfd8
312,15ba8
313,e868
314,add0
315,9b40
316,8ba0
317,7430
318,6878
319,1c
320,39ec0
321,1cfdc
322,13590
323,e86c
324,9b44
325,7434
326,6784
327,5cc4
328,4e20
329,4650
330,1d
331,2b750
332,15ba8
333,e86c
334,add4
335,7434
336,56e8
337,4e20
338,4650
339,3a98
340,34bc
341,1e
342,9c4a0
343,4e2e0
344,34240
345,271f0
346,1a1a0
347,13910
348,116c0
349,faa0
350,d160
351,bc40
352,1f
353,4e2e0
354,271f8
355,1a1a8
356,13910
357,d160
358,9ca0
359,8bf0
360,7de0
361,68c8
362,5e38
363,20
364,34244
365,1a1ac
366,116cc
367,d160
368,8bf0
369,68c8
370,5d5c
371,53b0
372,4680
373,3f78
374,21
375,271f8
376,13914
377,d160
378,9ca4
379,68c8
380,4e68
381,4680
382,3f78
383,34ec
384,2fa8
385,22
386,50238
387,28198
388,1abb8
389,14148
390,d5d8
391,a120
392,8e90
393,80e8
394,6b68
395,60a8
396,23
397,28198
398,14148
399,d5dc
400,a120
401,6b6c
402,510c
403,4748
404,4074
405,35b4
406,30d4
407,24
408,1abbc
409,d5de
410,8e94
411,6b6c
412,474a
413,35b6
414,2fda
415,2af8
416,2422
417,203a
418,25
419,1414a
420,a122
421,6b6c
422,510e
423,35b6
424,2904
425,2422
426,203a
427,1b58
428,186a
429,26
430,48230
431,241a0
432,18128
433,12158
434,c0a8
435,9130
436,8080
437,7430
438,60e0
439,5730
440,27
441,241a0
442,12158
443,c0ac
444,9134
445,60e0
446,4924
447,4058
448,3a34
449,3088
450,2c24
451,28
452,18128
453,c0ac
454,8084
455,60e0
456,405a
457,3088
458,2b42
459,26de
460,20b6
461,1d32
462,29
463,1215a
464,9136
465,60e0
466,4924
467,3088
468,251c
469,20b6
470,1d32
471,18ce
472,162a
