,radio,timestamp,txs,macaddr,num_frames,num_acked,probe,rate0,count0,rate1,count1,rate2,count2,rate3,count3
2022-10-11 00:40:56.181689825,phy1,2022-10-11 00:40:56.181689825,txs,00:0a:52:07:3a:85,1,1,0,0,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.261840674,phy1,2022-10-11 00:40:56.261840674,txs,00:0a:52:07:3a:85,1,1,0,272,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.264919987,phy1,2022-10-11 00:40:56.264919987,txs,00:0a:52:07:3a:85,2,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.265306080,phy1,2022-10-11 00:40:56.265306080,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.568492415,phy1,2022-10-11 00:40:56.568492415,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.568766410,phy1,2022-10-11 00:40:56.568766410,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.569083428,phy1,2022-10-11 00:40:56.569083428,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.571710227,phy1,2022-10-11 00:40:56.571710227,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.574230586,phy1,2022-10-11 00:40:56.574230586,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.576688156,phy1,2022-10-11 00:40:56.576688156,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.578666672,phy1,2022-10-11 00:40:56.578666672,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.581111810,phy1,2022-10-11 00:40:56.581111810,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.581740817,phy1,2022-10-11 00:40:56.581740817,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.582472913,phy1,2022-10-11 00:40:56.582472913,txs,00:0a:52:07:3a:85,1,1,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.584844715,phy1,2022-10-11 00:40:56.584844715,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.587105956,phy1,2022-10-11 00:40:56.587105956,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.589489492,phy1,2022-10-11 00:40:56.589489492,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.591871562,phy1,2022-10-11 00:40:56.591871562,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.594106193,phy1,2022-10-11 00:40:56.594106193,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.596332023,phy1,2022-10-11 00:40:56.596332023,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.598610515,phy1,2022-10-11 00:40:56.598610515,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.600910240,phy1,2022-10-11 00:40:56.600910240,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.603395537,phy1,2022-10-11 00:40:56.603395537,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.605841234,phy1,2022-10-11 00:40:56.605841234,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.607882958,phy1,2022-10-11 00:40:56.607882958,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.610355334,phy1,2022-10-11 00:40:56.610355334,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.612677059,phy1,2022-10-11 00:40:56.612677059,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.614976505,phy1,2022-10-11 00:40:56.614976505,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.617223358,phy1,2022-10-11 00:40:56.617223358,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.619588944,phy1,2022-10-11 00:40:56.619588944,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.621766304,phy1,2022-10-11 00:40:56.621766304,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.624044167,phy1,2022-10-11 00:40:56.624044167,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.626364006,phy1,2022-10-11 00:40:56.626364006,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.628574192,phy1,2022-10-11 00:40:56.628574192,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.630753647,phy1,2022-10-11 00:40:56.630753647,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.633138161,phy1,2022-10-11 00:40:56.633138161,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.635431809,phy1,2022-10-11 00:40:56.635431809,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.637703456,phy1,2022-10-11 00:40:56.637703456,txs,00:0a:52:07:3a:85,7,7,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.640034121,phy1,2022-10-11 00:40:56.640034121,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
