,full group,airtime
0,0,168980
1,1,b44c0
2,2,783c0
3,3,5a260
4,4,3c1e0
5,5,2d1a0
6,6,28180
7,7,24120
8,8,0
9,9,0
10,10,b44c0
11,11,5a260
12,12,3c1e0
13,13,2d1a0
14,14,1E+170
15,15,16950
16,16,14140
17,17,12110
18,18,0
19,19,0
20,20,783d0
21,21,3c1e8
22,22,28198
23,23,1E+170
24,24,14148
25,25,f130
26,26,d5d8
27,27,c060
28,28,0
29,29,0
30,30,5a260
31,31,2d1a8
32,32,1E+170
33,33,16950
34,34,f130
35,35,b4a8
36,36,a120
37,37,9088
38,38,0
39,39,0
40,40,1448c0
41,41,a2460
42,42,6c3a0
43,43,51240
44,44,361
45,45,289a0
46,46,241a0
47,47,207a0
48,48,0
49,49,0
50,50,a2470
51,51,51250
52,52,361
53,53,289b0
54,54,1b170
55,55,14560
56,56,12150
57,57,10450
58,58,0
59,59,0
60,60,6c3a0
61,61,36100000000
62,62,241a0
63,63,1b178
64,64,12158
65,65,d948
66,66,c0a8
67,67,ad50
68,68,0
69,69,0
70,70,51250
71,71,289b0
72,72,1b178
73,73,14560
74,74,d948
75,75,a2c8
76,76,9130
77,77,8240
78,78,0
79,79,0
80,80,ada50
81,81,56da0
82,82,39ec0
83,83,2b750
84,84,1cfd0
85,85,15ba0
86,86,13590
87,87,11650
88,88,0
89,89,0
90,90,56da0
91,91,2b750
92,92,1cfd8
93,93,15ba8
94,94,e868
95,95,add0
96,96,9b40
97,97,8ba0
98,98,0
99,99,0
100,a0,39ec0
101,a1,1cfdc
102,a2,13590
103,a3,e86c
104,a4,9b44
105,a5,7434
106,a6,6784
107,a7,5cc4
108,a8,0
109,a9,0
110,b0,2b750
111,b1,15ba8
112,b2,e86c
113,b3,add4
114,b4,7434
115,b5,5600000000
116,b6,4E+020
117,b7,4650
118,b8,0
119,b9,0
120,c0,9c4a0
121,c1,4e2e0
122,c2,34240
123,c3,271f0
124,c4,1a1a0
125,c5,13910
126,c6,116c0
127,c7,faa0
128,c8,0
129,c9,0
130,d0,4e2e0
131,d1,271f8
132,d2,1a1a8
133,d3,13910
134,d4,d160
135,d5,9ca0
136,d6,8bf0
137,d7,7de0
138,d8,0
139,d9,0
140,e0,34244
141,e1,1a1ac
142,e2,116cc
143,e3,d160
144,e4,8bf0
145,e5,68c8
146,e6,5d5c
147,e7,53b0
148,e8,0
149,e9,0
150,f0,271f8
151,f1,13914
152,f2,d160
153,f3,9ca4
154,f4,68c8
155,f5,4E+068
156,f6,4680
157,f7,3f78
158,f8,0
159,f9,0
160,100,960
161,101,4c9100
162,102,1dcc00
163,103,106f00
164,104,949700
165,105,4b1a00
166,106,1c5500
167,107,ef800
168,108,0
169,109,0
170,110,190640
171,111,10d880
172,112,cc1a0
173,113,8aac0
174,114,6a720
175,115,493
176,116,399
177,117,33c20
178,118,0
179,119,0
180,120,168980
181,121,b44c0
182,122,783c0
183,123,5a260
184,124,3c1e0
185,125,2d1a0
186,126,28180
187,127,24120
188,128,1E+160
189,129,1b180
190,130,b44c0
191,131,5a260
192,132,3c1e0
193,133,2d1a0
194,134,1E+170
195,135,16950
196,136,14140
197,137,12110
198,138,f130
199,139,d8c0
200,140,783d0
201,141,3c1e8
202,142,28198
203,143,1E+170
204,144,14148
205,145,f130
206,146,d5d8
207,147,c060
208,148,a120
209,149,9088
210,150,5a260
211,151,2d1a8
212,152,1E+170
213,153,16950
214,154,f130
215,155,b4a8
216,156,a120
217,157,9088
218,158,7918
219,159,6c60
220,160,1448c0
221,161,a2460
222,162,6c3a0
223,163,51240
224,164,361
225,165,289a0
226,166,241a0
227,167,207a0
228,168,1b160
229,169,18660
230,170,a2470
231,171,51250
232,172,361
233,173,289b0
234,174,1b170
235,175,14560
236,176,12150
237,177,10450
238,178,d940
239,179,c350
240,180,6c3a0
241,181,36100000000
242,182,241a0
243,183,1b178
244,184,12158
245,185,d948
246,186,c0a8
247,187,ad50
248,188,9130
249,189,8240
250,190,51250
251,191,289b0
252,192,1b178
253,193,14560
254,194,d948
255,195,a2c8
256,196,9130
257,197,8240
258,198,6d28
259,199,61c0
260,1a0,ada50
261,1a1,56da0
262,1a2,39ec0
263,1a3,2b750
264,1a4,1cfd0
265,1a5,15ba0
266,1a6,13590
267,1a7,11650
268,1a8,e860
269,1a9,d0f0
270,1b0,56da0
271,1b1,2b750
272,1b2,1cfd8
273,1b3,15ba8
274,1b4,e868
275,1b5,add0
276,1b6,9b40
277,1b7,8ba0
278,1b8,7430
279,1b9,6878
280,1c0,39ec0
281,1c1,1cfdc
282,1c2,13590
283,1c3,e86c
284,1c4,9b44
285,1c5,7434
286,1c6,6784
287,1c7,5cc4
288,1c8,4E+020
289,1c9,4650
290,1d0,2b750
291,1d1,15ba8
292,1d2,e86c
293,1d3,add4
294,1d4,7434
295,1d5,5600000000
296,1d6,4E+020
297,1d7,4650
298,1d8,3a98
299,1d9,34bc
300,1e0,9c4a0
301,1e1,4e2e0
302,1e2,34240
303,1e3,271f0
304,1e4,1a1a0
305,1e5,13910
306,1e6,116c0
307,1e7,faa0
308,1e8,d160
309,1e9,bc40
310,1f0,4e2e0
311,1f1,271f8
312,1f2,1a1a8
313,1f3,13910
314,1f4,d160
315,1f5,9ca0
316,1f6,8bf0
317,1f7,7de0
318,1f8,68c8
319,1f9,5E+038
320,200,34244
321,201,1a1ac
322,202,116cc
323,203,d160
324,204,8bf0
325,205,68c8
326,206,5d5c
327,207,53b0
328,208,4680
329,209,3f78
330,210,271f8
331,211,13914
332,212,d160
333,213,9ca4
334,214,68c8
335,215,4E+068
336,216,4680
337,217,3f78
338,218,34ec
339,219,2fa8
340,220,50238
341,221,28198
342,222,1abb8
343,223,14148
