,radio,timestamp,txs,macaddr,num_frames,num_acked,probe,rate0,count0,rate1,count1,rate2,count2,rate3,count3
2022-10-26 11:54:26.141764864,phy1,2022-10-26 11:54:26.141764864,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:26.269962409,phy1,2022-10-26 11:54:26.269962409,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:26.274022970,phy1,2022-10-26 11:54:26.274022970,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:26.504827194,phy1,2022-10-26 11:54:26.504827194,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,150,1,65535,0,65535,0
2022-10-26 11:54:26.949115071,phy1,2022-10-26 11:54:26.949115071,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.165408816,phy1,2022-10-26 11:54:27.165408816,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.421259328,phy1,2022-10-26 11:54:27.421259328,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.443461819,phy1,2022-10-26 11:54:27.443461819,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.450866392,phy1,2022-10-26 11:54:27.450866392,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.481640289,phy1,2022-10-26 11:54:27.481640289,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.516693747,phy1,2022-10-26 11:54:27.516693747,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.551798453,phy1,2022-10-26 11:54:27.551798453,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,150,1,65535,0,65535,0
2022-10-26 11:54:27.553340371,phy1,2022-10-26 11:54:27.553340371,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.585298820,phy1,2022-10-26 11:54:27.585298820,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.618593940,phy1,2022-10-26 11:54:27.618593940,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.651915527,phy1,2022-10-26 11:54:27.651915527,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.662515954,phy1,2022-10-26 11:54:27.662515954,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:27.777141061,phy1,2022-10-26 11:54:27.777141061,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,150,1,65535,0,65535,0
2022-10-26 11:54:27.927174359,phy1,2022-10-26 11:54:27.927174359,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,65535,0,65535,0,65535,0
2022-10-26 11:54:28.056710973,phy1,2022-10-26 11:54:28.056710973,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:28.335593032,phy1,2022-10-26 11:54:28.335593032,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.110799520,phy1,2022-10-26 11:54:29.110799520,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.661691280,phy1,2022-10-26 11:54:29.661691280,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,150,1,65535,0,65535,0
2022-10-26 11:54:29.661867604,phy1,2022-10-26 11:54:29.661867604,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.662017110,phy1,2022-10-26 11:54:29.662017110,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.662783753,phy1,2022-10-26 11:54:29.662783753,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.675998165,phy1,2022-10-26 11:54:29.675998165,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.686537664,phy1,2022-10-26 11:54:29.686537664,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,150,1,65535,0,65535,0
2022-10-26 11:54:29.825413197,phy1,2022-10-26 11:54:29.825413197,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.877491626,phy1,2022-10-26 11:54:29.877491626,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.878072771,phy1,2022-10-26 11:54:29.878072771,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:29.985442978,phy1,2022-10-26 11:54:29.985442978,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:30.106297022,phy1,2022-10-26 11:54:30.106297022,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:30.127300954,phy1,2022-10-26 11:54:30.127300954,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:32.444945961,phy1,2022-10-26 11:54:32.444945961,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,65535,0,65535,0,65535,0
2022-10-26 11:54:32.704136066,phy1,2022-10-26 11:54:32.704136066,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,150,1,65535,0,65535,0
2022-10-26 11:54:32.911745132,phy1,2022-10-26 11:54:32.911745132,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:32.976789637,phy1,2022-10-26 11:54:32.976789637,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.494346946,phy1,2022-10-26 11:54:33.494346946,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.745627204,phy1,2022-10-26 11:54:33.745627204,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
